key;scientificName;decimalLatitude;decimalLongitude;issues;datasetKey;basisOfRecord;occurrenceStatus;acceptedScientificName;kingdom;phylum;family;genus;species;genericName;specificEpithet;taxonRank;taxonomicStatus;iucnRedListCategory;class
4900870545;Atractus sanctaemartae Dunn, 1946;11,101405;-74,072032;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Atractus sanctaemartae Dunn, 1946;Animalia;Chordata;Colubridae;Atractus;Atractus sanctaemartae;Atractus;sanctaemartae;SPECIES;ACCEPTED;LC;Squamata
4901051532;Tachiramantis Heinicke, Barrio-Amorós & Hedges, 2015;11,061651;-74,132054;cdc,cdround,txmathi;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Tachiramantis Heinicke, Barrio-Amorós & Hedges, 2015;Animalia;Chordata;Craugastoridae;Tachiramantis;NA;Tachiramantis;NA;GENUS;ACCEPTED;NE;Amphibia
4902032354;Anolis solitarius Ruthven, 1916;11,107334;-74,151266;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Anolis solitarius Ruthven, 1916;Animalia;Chordata;Dactyloidae;Anolis;Anolis solitarius;Anolis;solitarius;SPECIES;ACCEPTED;NT;Squamata
4901388382;Masticophis mentovarius centralis Roze, 1953;11,218964;-74,169311;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Masticophis mentovarius centralis Roze, 1953;Animalia;Chordata;Colubridae;Masticophis;Masticophis mentovarius;Masticophis;mentovarius;SUBSPECIES;ACCEPTED;NA;Squamata
4901693537;Anolis auratus Daudin, 1802;11,236911;-74,147557;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Anolis auratus Daudin, 1802;Animalia;Chordata;Dactyloidae;Anolis;Anolis auratus;Anolis;auratus;SPECIES;ACCEPTED;LC;Squamata
4901652116;Dendrobates truncatus (Cope, 1861);11,232316;-74,035937;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Dendrobates truncatus (Cope, 1861);Animalia;Chordata;Dendrobatidae;Dendrobates;Dendrobates truncatus;Dendrobates;truncatus;SPECIES;ACCEPTED;LC;Amphibia
4901103485;Cnemidophorus gaigei Ruthven, 1915;11,142884;-74,106934;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Cnemidophorus gaigei Ruthven, 1915;Animalia;Chordata;Teiidae;Cnemidophorus;Cnemidophorus gaigei;Cnemidophorus;gaigei;SPECIES;ACCEPTED;NE;Squamata
4900855528;Bolitoglossa savagei Brame & Wake, 1963;11,136394;-74,121225;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Bolitoglossa savagei Brame & Wake, 1963;Animalia;Chordata;Plethodontidae;Bolitoglossa;Bolitoglossa savagei;Bolitoglossa;savagei;SPECIES;ACCEPTED;NT;Amphibia
4900882811;Atractus sanctaemartae Dunn, 1946;11,097562;-74,069752;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Atractus sanctaemartae Dunn, 1946;Animalia;Chordata;Colubridae;Atractus;Atractus sanctaemartae;Atractus;sanctaemartae;SPECIES;ACCEPTED;LC;Squamata
4904269481;Tachiramantis Heinicke, Barrio-Amorós & Hedges, 2015;11,028861;-74,184484;cdc,cdround,txmathi;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Tachiramantis Heinicke, Barrio-Amorós & Hedges, 2015;Animalia;Chordata;Craugastoridae;Tachiramantis;NA;Tachiramantis;NA;GENUS;ACCEPTED;NE;Amphibia
4904106573;Sciurus granatensis Humboldt, 1811;11,203253;-74,226945;cdc;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Sciurus granatensis Humboldt, 1811;Animalia;Chordata;Sciuridae;Sciurus;Sciurus granatensis;Sciurus;granatensis;SPECIES;ACCEPTED;LC;Mammalia
4924006597;Bolitoglossa savagei Brame & Wake, 1963;11,094454;-74,006241;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Bolitoglossa savagei Brame & Wake, 1963;Animalia;Chordata;Plethodontidae;Bolitoglossa;Bolitoglossa savagei;Bolitoglossa;savagei;SPECIES;ACCEPTED;NT;Amphibia
4923767872;Alouatta seniculus (Linnaeus, 1766);11,098682;-74,071196;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Alouatta seniculus (Linnaeus, 1766);Animalia;Chordata;Atelidae;Alouatta;Alouatta seniculus;Alouatta;seniculus;SPECIES;ACCEPTED;LC;Mammalia
4925933663;Tachiramantis Heinicke, Barrio-Amorós & Hedges, 2015;11,122242;-74,133292;cdc,cdround,txmathi;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Tachiramantis Heinicke, Barrio-Amorós & Hedges, 2015;Animalia;Chordata;Craugastoridae;Tachiramantis;NA;Tachiramantis;NA;GENUS;ACCEPTED;NE;Amphibia
4911148711;Anadia pulchella Ruthven, 1926;11,065164;-74,158156;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Anadia pulchella Ruthven, 1926;Animalia;Chordata;Gymnophthalmidae;Anadia;Anadia pulchella;Anadia;pulchella;SPECIES;ACCEPTED;NT;Squamata
4910640041;Erythrolamprus bizona Jan, 1863;11,158643;-74,109267;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Erythrolamprus bizona Jan, 1863;Animalia;Chordata;Colubridae;Erythrolamprus;Erythrolamprus bizona;Erythrolamprus;bizona;SPECIES;ACCEPTED;LC;Squamata
