"";"key";"scientificName";"decimalLatitude";"decimalLongitude";"datasetKey";"basisOfRecord";"occurrenceStatus";"acceptedScientificName";"kingdom";"phylum";"order";"family";"genus";"species";"taxonRank";"taxonomicStatus";"iucnRedListCategory";"continent";"stateProvince";"year"
"276";"3858259878";"Cebus malitiosus Elliot, 1909";11,242536;-73,917362;"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"HUMAN_OBSERVATION";"PRESENT";"Cebus malitiosus Elliot, 1909";"Animalia";"Chordata";"Primates";"Cebidae";"Cebus";"Cebus malitiosus";"SPECIES";"ACCEPTED";"EN";"SOUTH_AMERICA";"Magdalena";2022
"277";"3465896934";"Cerdocyon thous (Linnaeus, 1766)";11,102133;-74,084639;"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"HUMAN_OBSERVATION";"PRESENT";"Cerdocyon thous (Linnaeus, 1766)";"Animalia";"Chordata";"Carnivora";"Canidae";"Cerdocyon";"Cerdocyon thous";"SPECIES";"ACCEPTED";"LC";"SOUTH_AMERICA";"Magdalena";2022
"278";"3468927746";"Saguinus oedipus (Linnaeus, 1758)";11,193063;-73,927831;"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"HUMAN_OBSERVATION";"PRESENT";"Saguinus oedipus (Linnaeus, 1758)";"Animalia";"Chordata";"Primates";"Callitrichidae";"Saguinus";"Saguinus oedipus";"SPECIES";"ACCEPTED";"CR";"SOUTH_AMERICA";"Magdalena";2022
"279";"3712650899";"Potos flavus (Schreber, 1774)";11,09734;-74,06944;"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"HUMAN_OBSERVATION";"PRESENT";"Potos flavus (Schreber, 1774)";"Animalia";"Chordata";"Carnivora";"Procyonidae";"Potos";"Potos flavus";"SPECIES";"ACCEPTED";"LC";"SOUTH_AMERICA";"Magdalena";2022
"280";"3712742997";"Aotus griseimembra Elliot, 1912";11,19237;-74,056953;"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"HUMAN_OBSERVATION";"PRESENT";"Aotus griseimembra Elliot, 1912";"Animalia";"Chordata";"Primates";"Aotidae";"Aotus";"Aotus griseimembra";"SPECIES";"ACCEPTED";"VU";"SOUTH_AMERICA";"Magdalena";2022
"281";"4022006920";"Saguinus oedipus (Linnaeus, 1758)";11,269151;-73,809407;"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"HUMAN_OBSERVATION";"PRESENT";"Saguinus oedipus (Linnaeus, 1758)";"Animalia";"Chordata";"Primates";"Callitrichidae";"Saguinus";"Saguinus oedipus";"SPECIES";"ACCEPTED";"CR";"SOUTH_AMERICA";"Magdalena";2022
"282";"4506325372";"Cebus malitiosus Elliot, 1909";11,356435;-73,885106;"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"HUMAN_OBSERVATION";"PRESENT";"Cebus malitiosus Elliot, 1909";"Animalia";"Chordata";"Primates";"Cebidae";"Cebus";"Cebus malitiosus";"SPECIES";"ACCEPTED";"EN";NA;"Magdalena";2022
"283";"4908056163";"Cebus malitiosus Elliot, 1909";11,364593;-73,855604;"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"HUMAN_OBSERVATION";"PRESENT";"Cebus malitiosus Elliot, 1909";"Animalia";"Chordata";"Primates";"Cebidae";"Cebus";"Cebus malitiosus";"SPECIES";"ACCEPTED";"EN";NA;"Magdalena";2022
"284";"4174284619";"Myrmecophaga tridactyla Linnaeus, 1758";9,870527;-74,522155;"a9b30f8b-5879-420b-b306-bd1faeed696a";"MACHINE_OBSERVATION";"PRESENT";"Myrmecophaga tridactyla Linnaeus, 1758";"Animalia";"Chordata";"Pilosa";"Myrmecophagidae";"Myrmecophaga";"Myrmecophaga tridactyla";"SPECIES";"ACCEPTED";"VU";"SOUTH_AMERICA";"Magdalena";2022
"285";"4174284629";"Cerdocyon thous (Linnaeus, 1766)";9,870527;-74,522155;"a9b30f8b-5879-420b-b306-bd1faeed696a";"MACHINE_OBSERVATION";"PRESENT";"Cerdocyon thous (Linnaeus, 1766)";"Animalia";"Chordata";"Carnivora";"Canidae";"Cerdocyon";"Cerdocyon thous";"SPECIES";"ACCEPTED";"LC";"SOUTH_AMERICA";"Magdalena";2022
"286";"4174283950";"Leopardus pardalis (Linnaeus, 1758)";9,815567;-74,270145;"a9b30f8b-5879-420b-b306-bd1faeed696a";"MACHINE_OBSERVATION";"PRESENT";"Leopardus pardalis (Linnaeus, 1758)";"Animalia";"Chordata";"Carnivora";"Felidae";"Leopardus";"Leopardus pardalis";"SPECIES";"ACCEPTED";"LC";"SOUTH_AMERICA";"Magdalena";2022
"287";"4174288748";"Glossophaga soricina (Pallas, 1766)";9,77199;-74,371716;"a9b30f8b-5879-420b-b306-bd1faeed696a";"HUMAN_OBSERVATION";"PRESENT";"Glossophaga soricina (Pallas, 1766)";"Animalia";"Chordata";"Chiroptera";"Phyllostomidae";"Glossophaga";"Glossophaga soricina";"SPECIES";"ACCEPTED";"LC";"SOUTH_AMERICA";"Magdalena";2022
"288";"4174272216";"Glossophaga soricina (Pallas, 1766)";9,771818;-74,371934;"a9b30f8b-5879-420b-b306-bd1faeed696a";"HUMAN_OBSERVATION";"PRESENT";"Glossophaga soricina (Pallas, 1766)";"Animalia";"Chordata";"Chiroptera";"Phyllostomidae";"Glossophaga";"Glossophaga soricina";"SPECIES";"ACCEPTED";"LC";"SOUTH_AMERICA";"Magdalena";2022
"289";"4174272213";"Glossophaga longirostris Miller, 1898";9,771818;-74,371934;"a9b30f8b-5879-420b-b306-bd1faeed696a";"HUMAN_OBSERVATION";"PRESENT";"Glossophaga longirostris Miller, 1898";"Animalia";"Chordata";"Chiroptera";"Phyllostomidae";"Glossophaga";"Glossophaga longirostris";"SPECIES";"ACCEPTED";"LC";"SOUTH_AMERICA";"Magdalena";2022
"290";"4174275547";"Noctilio leporinus (Linnaeus, 1758)";9,770757;-74,372459;"a9b30f8b-5879-420b-b306-bd1faeed696a";"HUMAN_OBSERVATION";"PRESENT";"Noctilio leporinus (Linnaeus, 1758)";"Animalia";"Chordata";"Chiroptera";"Noctilionidae";"Noctilio";"Noctilio leporinus";"SPECIES";"ACCEPTED";"LC";"SOUTH_AMERICA";"Magdalena";2022
"291";"4174283342";"Carollia perspicillata (Linnaeus, 1758)";9,77053;-74,372695;"a9b30f8b-5879-420b-b306-bd1faeed696a";"HUMAN_OBSERVATION";"PRESENT";"Carollia perspicillata (Linnaeus, 1758)";"Animalia";"Chordata";"Chiroptera";"Phyllostomidae";"Carollia";"Carollia perspicillata";"SPECIES";"ACCEPTED";"LC";"SOUTH_AMERICA";"Magdalena";2022
"292";"4174286023";"Glossophaga soricina (Pallas, 1766)";9,834904;-74,265147;"a9b30f8b-5879-420b-b306-bd1faeed696a";"HUMAN_OBSERVATION";"PRESENT";"Glossophaga soricina (Pallas, 1766)";"Animalia";"Chordata";"Chiroptera";"Phyllostomidae";"Glossophaga";"Glossophaga soricina";"SPECIES";"ACCEPTED";"LC";"SOUTH_AMERICA";"Magdalena";2022
"293";"4174272202";"Tamandua mexicana (Saussure, 1860)";9,860131;-74,528555;"a9b30f8b-5879-420b-b306-bd1faeed696a";"MATERIAL_SAMPLE";"PRESENT";"Tamandua mexicana (Saussure, 1860)";"Animalia";"Chordata";"Pilosa";"Myrmecophagidae";"Tamandua";"Tamandua mexicana";"SPECIES";"ACCEPTED";"LC";"SOUTH_AMERICA";"Magdalena";2022
"294";"4174287020";"Sciurus granatensis Humboldt, 1811";9,860093;-74,528631;"a9b30f8b-5879-420b-b306-bd1faeed696a";"HUMAN_OBSERVATION";"PRESENT";"Sciurus granatensis Humboldt, 1811";"Animalia";"Chordata";"Rodentia";"Sciuridae";"Sciurus";"Sciurus granatensis";"SPECIES";"ACCEPTED";"LC";"SOUTH_AMERICA";"Magdalena";2022
"295";"4174276834";"Alouatta seniculus (Linnaeus, 1766)";9,774181;-74,370033;"a9b30f8b-5879-420b-b306-bd1faeed696a";"HUMAN_OBSERVATION";"PRESENT";"Alouatta seniculus (Linnaeus, 1766)";"Animalia";"Chordata";"Primates";"Atelidae";"Alouatta";"Alouatta seniculus";"SPECIES";"ACCEPTED";"LC";"SOUTH_AMERICA";"Magdalena";2022
"296";"4174276833";"Sciurus granatensis Humboldt, 1811";9,774181;-74,370033;"a9b30f8b-5879-420b-b306-bd1faeed696a";"HUMAN_OBSERVATION";"PRESENT";"Sciurus granatensis Humboldt, 1811";"Animalia";"Chordata";"Rodentia";"Sciuridae";"Sciurus";"Sciurus granatensis";"SPECIES";"ACCEPTED";"LC";"SOUTH_AMERICA";"Magdalena";2022
"297";"4174276838";"Cerdocyon thous (Linnaeus, 1766)";9,774181;-74,370033;"a9b30f8b-5879-420b-b306-bd1faeed696a";"HUMAN_OBSERVATION";"PRESENT";"Cerdocyon thous (Linnaeus, 1766)";"Animalia";"Chordata";"Carnivora";"Canidae";"Cerdocyon";"Cerdocyon thous";"SPECIES";"ACCEPTED";"LC";"SOUTH_AMERICA";"Magdalena";2022
"298";"4174276836";"Didelphis marsupialis Linnaeus, 1758";9,774181;-74,370033;"a9b30f8b-5879-420b-b306-bd1faeed696a";"HUMAN_OBSERVATION";"PRESENT";"Didelphis marsupialis Linnaeus, 1758";"Animalia";"Chordata";"Didelphimorphia";"Didelphidae";"Didelphis";"Didelphis marsupialis";"SPECIES";"ACCEPTED";"LC";"SOUTH_AMERICA";"Magdalena";2022
