Voucher/obs,Especie,Pais,Estado,Municipio/localidad,Latitud,Longitud,Elevación (m s. n. m.),Fuente,
UCM:Herp:52412,Rhadinaea decorata,Mexico,Oaxaca,Mije,17.193778,-94.464778,340,Gbif,
UCM:Herp:52463,Rhadinaea decorata,Mexico,Oaxaca,Juchitan,18.585278,-95.075,10,Gbif,
UCM:Herp:52506,Rhadinaea decorata,Mexico,Oaxaca,Juchitan,18.6205,-95.097167,131,Gbif,
UCM:Herp:52655,Rhadinaea decorata,Mexico,Oaxaca,Mije,18.585278,-95.073889,394,Gbif,
UCM:Herp:52656,Rhadinaea decorata,Mexico,Oaxaca,Mije,18.616667,-95.062778,570,Gbif,
UIUC 100123,Rhadinaea decorata,Mexico,Chiapas,Palenque,21.216667,-87.183333,886,Gbif,
UIUC 11345,Rhadinaea decorata,Mexico,Chiapas,Palenque,19.795833,-87.786944,1630,Gbif,
UMMZ 85969,Rhadinaea decorata,Mexico,Puebla,Nexaca,18.875,-96.875,312,Gbif,
USNM 120832,Rhadinaea decorata,Costa Rica,Limon Province,Suretka,17.08333,-93.7,22,Gbif,
USNM 166933,Rhadinaea decorata,Ecuador,Pichincha,Rio Blanco,16.341667,-95.241667,668,Gbif,
USNM 219598,Rhadinaea decorata,Costa Rica,Puntarenas Province,Rincon de Osa,16.73965452,-92.75133421,30,Gbif,
USNM 219599,Rhadinaea decorata,Costa Rica,Puntarenas Province,Rincon de Osa,17.04074794,-93.48996255,30,Gbif,
USNM 219600,Rhadinaea decorata,Costa Rica,Puntarenas Province,Rincon de Osa,17.083333,-93.7,30,Gbif,
USNM 46527,Rhadinaea decorata,Mexico,Chiapas,,21.385279,-98.989998,10,Gbif,
USNM 560000,Rhadinaea decorata,Honduras,Gracias a Dios,,18.625,-96.708333,180,Gbif,
USNM 565590,Rhadinaea decorata,Honduras,Olancho,Vallecito,18.599972,-96.684528,900,Gbif,
UTCH:COLZOOCH-H: 1526,Rhadinaea decorata,Colombia,Choco,Quibdo,8.1736,-76.0592,53,Gbif,
UTCH:COLZOOCH-H: 1558,Rhadinaea decorata,Colombia,Choco,Quibdo,8.031661,-77.224222,35,Gbif,
UTCH:COLZOOCH-H: 2065,Rhadinaea decorata,Colombia,Choco,El Carmen de Atrato,5.360278,-76.645833,433,Gbif,
UTEP 7869,Rhadinaea decorata,Mexico,Chiapas,Ocozocuatla de Espinoza,21.39746842,-98.96760665,387.5,Gbif,
UTEP 7869,Rhadinaea decorata,Mexico,Chiapas,Ocozocoautla de Espinosa,19.358055,-96.718802,1208,Gbif,
UTEP 7870,Rhadinaea decorata,Mexico,Chiapas,San Fernando,19.451938,-96.959451,8,Gbif,
UTEP 7870,Rhadinaea decorata,Mexico,Chiapas,Berriozabal,18.034447,-94.099102,615,Gbif,
YPM HERR 007810,Rhadinaea decorata,Mexico,Puebla State,Hueytamalco,18.425,-95.041667,1296,Gbif,
YPM HERR 017106,Rhadinaea decorata,Costa Rica,Heredia Province,Las Horquetas de Sarapiqui,10.406897,-84.11967,700,Gbif,
YPM HERR 016852,Rhadinaea decorata,Costa Rica,Heredia Province,Las Horquetas de Sarapiqui,10.415855,-84.119682,700,Gbif,
YPM HERR 017107,Rhadinaea decorata,Costa Rica,Heredia Province,Las Horquetas de Sarapiqui,10.416767,-84.124002,700,Gbif,
